,Velocity,Power,Position,Diameter
639,0.640233101,17.2,On,60r
640,0.880574174,17.2,On,60r
641,1.149147427,17.2,On,60r
642,1.154215955,17.2,On,60r
643,0.0979663,17.2,On,60r
644,1.174701929,17.2,On,60r
645,1.560326437,17.2,On,60r
646,0.32666074,17.2,On,60r
647,0.286696909,17.2,On,60r
648,1.645367555,17.2,On,60r
649,3.581642896,17.2,On,60r
650,2.441867611,17.2,On,60r
651,0.749159207,17.2,On,60r
652,1.073557309,17.2,On,60r
653,4.746712254,17.2,On,60r
654,1.801417951,17.2,On,60r
655,2.365294415,17.2,On,60r
656,0.064513451,17.2,On,60r
657,1.002098421,17.2,On,60r
658,0.540938722,17.2,On,60r
659,0.907727563,17.2,On,60r
660,0.133494547,17.2,On,60r
661,1.132998452,17.2,On,60r
662,1.324763083,17.2,On,60r
663,1.537075625,17.2,On,60r
664,0.100035228,17.2,On,60r
665,0.620587885,17.2,On,60r
666,0.121713877,17.2,On,60r
667,0.966490997,17.2,On,60r
668,0.436692506,17.2,On,60r
669,0.276243269,17.2,On,60r
670,0.023147476,17.2,On,60r
671,1.28873493,17.2,On,60r
672,0.785891603,17.2,On,60r
673,0.540765051,17.2,On,60r
674,0.614836851,17.2,On,60r
675,0.193099725,17.2,On,60r
676,0.099858171,17.2,On,60r
677,0.252890745,17.2,On,60r
678,1.836739017,17.2,On,60r
679,1.527928192,17.2,On,60r
680,0.516809285,17.2,On,60r
681,1.268880168,17.2,On,60r
682,1.858055528,17.2,On,60r
683,0.228080289,17.2,On,60r
684,0.370043146,17.2,On,60r
685,0.70682279,17.2,On,60r
686,0.689857843,17.2,On,60r
687,0.506158047,17.2,On,60r
688,0.48112552,17.2,On,60r
689,0.217421478,17.2,On,60r
690,0.254638336,17.2,On,60r
691,0.072810757,17.2,On,60r
692,0.352310973,17.2,On,60r
693,0.394892869,17.2,On,60r
694,0.083584738,17.2,On,60r
695,0.131977851,17.2,On,60r
696,1.349828464,17.2,On,60r
697,1.115052574,17.2,On,60r
698,0.007853755,17.2,On,60r
699,0.114160214,17.2,On,60r
700,0.166956345,17.2,On,60r
701,0.211936779,17.2,On,60r
